model,params,key,C,l1_ratio,accuracy,precision,recall,f1,time_min,alpha,fit_prior,norm,loss
ComplementNB,"{'alpha': 0.001, 'fit_prior': False, 'norm': True}","ComplementNB|{""alpha"": 0.001, ""fit_prior"": false, ""norm"": true}",,,0.6854833753303423,0.9222101841820152,0.5823223570190641,0.713874367504403,0.0014667590666666,0.001,False,True,
ComplementNB,"{'alpha': 0.005, 'fit_prior': True, 'norm': False}","ComplementNB|{""alpha"": 0.005, ""fit_prior"": true, ""norm"": false}",,,0.7328375637637514,0.8788798533959454,0.6999452704551674,0.7792728749873058,0.0014639094666658,0.005,True,False,
ComplementNB,"{'alpha': 0.005, 'fit_prior': True, 'norm': True}","ComplementNB|{""alpha"": 0.005, ""fit_prior"": true, ""norm"": true}",,,0.7022924221006699,0.909900857449089,0.6194928395512177,0.7371248711130406,0.0014400876833349,0.005,True,True,
ComplementNB,"{'alpha': 0.005, 'fit_prior': False, 'norm': False}","ComplementNB|{""alpha"": 0.005, ""fit_prior"": false, ""norm"": false}",,,0.7328375637637514,0.8788798533959454,0.6999452704551674,0.7792728749873058,0.0013628438500006,0.005,False,False,
ComplementNB,"{'alpha': 0.005, 'fit_prior': False, 'norm': True}","ComplementNB|{""alpha"": 0.005, ""fit_prior"": false, ""norm"": true}",,,0.7022924221006699,0.909900857449089,0.6194928395512177,0.7371248711130406,0.0014440188500013,0.005,False,True,
ComplementNB,"{'alpha': 0.01, 'fit_prior': True, 'norm': False}","ComplementNB|{""alpha"": 0.01, ""fit_prior"": true, ""norm"": false}",,,0.7323766209821154,0.879036420992257,0.6989875034205966,0.7787403775310586,0.0013764372500001,0.01,True,False,
ComplementNB,"{'alpha': 0.01, 'fit_prior': True, 'norm': True}","ComplementNB|{""alpha"": 0.01, ""fit_prior"": true, ""norm"": true}",,,0.708684162006023,0.9046690076732996,0.6344978564261607,0.7458717563800129,0.0014135053666677,0.01,True,True,
ComplementNB,"{'alpha': 0.01, 'fit_prior': False, 'norm': False}","ComplementNB|{""alpha"": 0.01, ""fit_prior"": false, ""norm"": false}",,,0.7323766209821154,0.879036420992257,0.6989875034205966,0.7787403775310586,0.0013532889000013,0.01,False,False,
ComplementNB,"{'alpha': 0.01, 'fit_prior': False, 'norm': True}","ComplementNB|{""alpha"": 0.01, ""fit_prior"": false, ""norm"": true}",,,0.708684162006023,0.9046690076732996,0.6344978564261607,0.7458717563800129,0.0013051639166671,0.01,False,True,
ComplementNB,"{'alpha': 0.05, 'fit_prior': True, 'norm': False}","ComplementNB|{""alpha"": 0.05, ""fit_prior"": true, ""norm"": false}",,,0.7301948251490382,0.8790220274478145,0.6952476511903676,0.7764082713659978,0.0014111195333346,0.05,True,False,
ComplementNB,"{'alpha': 0.05, 'fit_prior': True, 'norm': True}","ComplementNB|{""alpha"": 0.05, ""fit_prior"": true, ""norm"": true}",,,0.7244176756191998,0.886482939632546,0.6777798047979567,0.7682088394934091,0.0014868244333342,0.05,True,True,
ComplementNB,"{'alpha': 0.05, 'fit_prior': False, 'norm': False}","ComplementNB|{""alpha"": 0.05, ""fit_prior"": false, ""norm"": false}",,,0.7301948251490382,0.8790220274478145,0.6952476511903676,0.7764082713659978,0.0015665529999997,0.05,False,False,
ComplementNB,"{'alpha': 0.05, 'fit_prior': False, 'norm': True}","ComplementNB|{""alpha"": 0.05, ""fit_prior"": false, ""norm"": true}",,,0.7244176756191998,0.886482939632546,0.6777798047979567,0.7682088394934091,0.0018133520166675,0.05,False,True,
ComplementNB,"{'alpha': 0.1, 'fit_prior': True, 'norm': False}","ComplementNB|{""alpha"": 0.1, ""fit_prior"": true, ""norm"": false}",,,0.729518775735972,0.8795696436834799,0.6935145489373347,0.7755393481919722,0.0015356674166658,0.1,True,False,
ComplementNB,"{'alpha': 0.1, 'fit_prior': True, 'norm': True}","ComplementNB|{""alpha"": 0.1, ""fit_prior"": true, ""norm"": true}",,,0.7308094155245529,0.8756133744151546,0.6998996625011402,0.7779580249417013,0.0014496087666676,0.1,True,True,
ComplementNB,"{'alpha': 0.1, 'fit_prior': False, 'norm': False}","ComplementNB|{""alpha"": 0.1, ""fit_prior"": false, ""norm"": false}",,,0.729518775735972,0.8795696436834799,0.6935145489373347,0.7755393481919722,0.0015111113499983,0.1,False,False,
ComplementNB,"{'alpha': 0.1, 'fit_prior': False, 'norm': True}","ComplementNB|{""alpha"": 0.1, ""fit_prior"": false, ""norm"": true}",,,0.7308094155245529,0.8756133744151546,0.6998996625011402,0.7779580249417013,0.0015886081499994,0.1,False,True,
